        61        12         6        20
   7.43188E-09   7.81738E-09   8.26857E-09   8.66642E-09   9.05883E-09
   8.89905E-09   8.48208E-09   7.94727E-09   7.45490E-09   7.12221E-09
   7.02279E-09   7.09553E-09   7.38785E-09   7.85133E-09   8.39144E-09
   8.86407E-09   9.31841E-09   9.13068E-09   8.63668E-09   8.00570E-09
   7.42940E-09   7.04065E-09   6.92260E-09   7.01412E-09   7.36293E-09
   7.90748E-09   8.54160E-09   9.09440E-09   9.63218E-09   9.41390E-09
   8.83448E-09   8.09726E-09   7.42956E-09   6.98006E-09   6.84136E-09
   6.95341E-09   7.36415E-09   7.99723E-09   8.73475E-09   9.37639E-09
   1.00029E-08   9.75066E-09   9.07775E-09   8.22510E-09   7.45986E-09
   6.94519E-09   6.78380E-09   6.91837E-09   7.39602E-09   8.12357E-09
   8.97306E-09   9.71201E-09   1.04429E-08   1.01525E-08   9.37706E-09
   8.39923E-09   7.52993E-09   6.94546E-09   6.75842E-09   6.91852E-09
   7.46835E-09   8.29628E-09   9.26707E-09   1.01127E-08   1.09832E-08
   1.06496E-08   9.75929E-09   8.64142E-09   7.65729E-09   6.99512E-09
   6.77850E-09   6.96773E-09   7.59884E-09   8.53764E-09   9.64317E-09
   1.06087E-08   1.16486E-08   1.12658E-08   1.02485E-08   8.97696E-09
   7.86716E-09   7.11831E-09   6.86567E-09   7.09028E-09   7.81328E-09
   8.87301E-09   1.01252E-08   1.12240E-08   1.25027E-08   1.20623E-08
   1.09186E-08   9.50260E-09   8.26265E-09   7.40572E-09   7.08844E-09
   7.37759E-09   8.22183E-09   9.40339E-09   1.07861E-08   1.20206E-08
   1.35989E-08   1.30945E-08   1.17851E-08   1.01730E-08   8.76253E-09
   7.78190E-09   7.39982E-09   7.75206E-09   8.73222E-09   1.00758E-08
   1.16404E-08   1.30525E-08   1.51099E-08   1.45364E-08   1.30240E-08
   1.11710E-08   9.53730E-09   8.40287E-09   7.93341E-09   8.37001E-09
   9.51986E-09   1.10755E-08   1.28618E-08   1.44936E-08   1.73850E-08
   1.67685E-08   1.50473E-08   1.29542E-08   1.10341E-08   9.73189E-09
   9.15004E-09   9.69427E-09   1.10326E-08   1.28629E-08   1.48626E-08
   1.67229E-08   2.19265E-08   2.12688E-08   1.93834E-08   1.71021E-08
   1.48554E-08   1.34167E-08   1.27206E-08   1.33734E-08   1.48708E-08
   1.70125E-08   1.91581E-08   2.12137E-08   3.43377E-08   3.36538E-08
   3.19525E-08   2.97422E-08   2.72084E-08   2.56121E-08   2.48285E-08
   2.55664E-08   2.72664E-08   2.96557E-08   3.16096E-08   3.35617E-08
   6.08960E-08   6.01412E-08   5.94784E-08   5.79721E-08   5.59622E-08
   5.43466E-08   5.39501E-08   5.42638E-08   5.60545E-08   5.78958E-08
   5.88505E-08   5.99074E-08   9.67514E-08   9.63558E-08   9.69895E-08
   9.67557E-08   9.48532E-08   9.32477E-08   9.32338E-08   9.31002E-08
   9.49226E-08   9.66875E-08   9.60373E-08   9.58935E-08   1.14631E-07
   1.13905E-07   1.13187E-07   1.11855E-07   1.09739E-07   1.08542E-07
   1.08934E-07   1.08482E-07   1.09859E-07   1.11801E-07   1.12158E-07
   1.13299E-07   9.09798E-08   9.04889E-08   8.72991E-08   8.42032E-08
   8.05717E-08   7.92340E-08   7.87385E-08   7.93096E-08   8.05697E-08
   8.41745E-08   8.68752E-08   9.00107E-08   6.13125E-08   6.04878E-08
   5.64969E-08   5.22343E-08   4.75803E-08   4.53253E-08   4.42693E-08
   4.53733E-08   4.74762E-08   5.22233E-08   5.65626E-08   6.03353E-08
   4.16582E-08   4.04744E-08   3.59986E-08   3.11526E-08   2.62159E-08
   2.37051E-08   2.25144E-08   2.36828E-08   2.60293E-08   3.11495E-08
   3.62840E-08   4.05016E-08   3.38606E-08   3.23632E-08   2.77783E-08
   2.28657E-08   1.79196E-08   1.50682E-08   1.36111E-08   1.50084E-08
   1.77120E-08   2.28650E-08   2.81035E-08   3.24653E-08   3.13358E-08
   2.94925E-08   2.50602E-08   2.03807E-08   1.57223E-08   1.24429E-08
   1.06909E-08   1.23664E-08   1.55092E-08   2.03810E-08   2.53780E-08
   2.96269E-08   3.06185E-08   2.86602E-08   2.44545E-08   1.99532E-08
   1.54911E-08   1.19341E-08   1.00782E-08   1.18511E-08   1.52867E-08
   1.99544E-08   2.47505E-08   2.88022E-08   3.03529E-08   2.85140E-08
   2.46524E-08   2.02870E-08   1.59632E-08   1.23343E-08   1.05920E-08
   1.22606E-08   1.57855E-08   2.02886E-08   2.49092E-08   2.86459E-08
   2.95483E-08   2.81364E-08   2.50169E-08   2.08883E-08   1.67891E-08
   1.33171E-08   1.19822E-08   1.32729E-08   1.66604E-08   2.08890E-08
   2.52093E-08   2.82394E-08   2.86012E-08   2.75747E-08   2.51137E-08
   2.11971E-08   1.72899E-08   1.40270E-08   1.30553E-08   1.40078E-08
   1.71962E-08   2.11961E-08   2.52617E-08   2.76529E-08   2.75676E-08
   2.68625E-08   2.49932E-08   2.12830E-08   1.75594E-08   1.44756E-08
   1.38022E-08   1.44765E-08   1.74923E-08   2.12803E-08   2.51079E-08
   2.69214E-08   2.75975E-08   2.69140E-08   2.50925E-08   2.13973E-08
   1.76880E-08   1.46056E-08   1.39506E-08   1.46058E-08   1.76228E-08
   2.13942E-08   2.52019E-08   2.69697E-08   2.76012E-08   2.69333E-08
   2.51452E-08   2.14607E-08   1.77615E-08   1.46816E-08   1.40401E-08
